Days,Death,Recovered,Infectious
372,2259963,101803764,615159
373,2275765,102393188,589424
374,2289226,102908452,515264
375,2298369,103305338,396886
376,2307984,103747822,442484
377,2323316,104212960,465138
378,2339492,104738233,525273
379,2352452,105210355,472122
380,2369759,105747508,537153
381,2381635,106183302,435794
382,2389022,106535096,351794
383,2398112,106874627,339531
384,2413181,107281617,406990
385,2427328,107721709,440092
386,2441212,108166041,444332
387,2454217,108596647,430606
388,2464954,108977494,380847
389,2471685,109286370,308876
390,2479118,109566536,280166
391,2490435,109925731,359195
392,2502025,110311947,386216
393,2513940,110723057,411110
394,2525634,111132968,409911
395,2534727,111508411,375443
396,2541320,111827979,319568
397,2548362,112123007,295028
398,2560027,112515742,392735
399,2572557,112960719,444977
400,2583425,113413884,453165
401,2594015,113856293,442409
402,2602723,114253548,397255
403,2609072,114561403,307855
404,2616484,114867235,305832
405,2626840,115180267,313032
406,2638610,115622128,441861
407,2649082,116081023,458895
408,2659578,116530799,449776
409,2667851,116945072,414273
410,2673811,117319563,374491
411,2680864,117624360,304797
412,2691414,118038059,413699
413,2701599,118497035,458976
414,2711846,118986743,489708
415,2721740,119476339,489596
416,2730346,119932495,456156
417,2736179,120298268,365773
418,2743667,120651845,353577
419,2754295,121117885,466040
420,2764901,121662993,545108
421,2775630,122211118,548125
422,2786454,122774379,563261
423,2795248,123273434,499055
424,2803709,123713861,440427
425,2811597,124134037,420176
426,2823088,124640014,505977
427,2833789,125269639,629625
428,2845338,125922060,652421
429,2858113,126562328,640268
430,2868329,127147119,584791
431,2875582,127639715,492596
432,2884193,128098220,458505
433,2896109,128659911,561691
434,2909012,129333926,674015
435,2921307,130043736,709810
436,2931948,130688694,644958
437,2941262,131229412,540718
438,2948670,131789388,559976
439,2956925,132285240,495852
440,2969378,132892174,606934
441,2984767,133555337,663163
442,2999065,134391606,836269
443,3013454,135139257,747651
444,3026486,135810084,670827
445,3035585,136519819,709735
446,3045485,137132629,612810
447,3059285,137896594,763965
448,3073389,138708544,811950
449,3087050,139529517,820973
450,3100446,140390091,860574
451,3113055,141184168,794077
452,3122174,141884308,700140
453,3133293,142573950,689642
454,3147598,143413547,839597
455,3162322,144302431,888884
456,3176214,145202351,899920
457,3191473,146110243,907892
458,3204619,146935115,824872
459,3215376,147663959,728844
460,3226998,148352006,688047
461,3241995,149191389,839383
462,3257946,150089532,898143
463,3273670,150984698,895166
464,3288091,151876468,891770
465,3301121,152671968,795500
466,3311430,153359231,687263
467,3323096,154048901,689670
468,3337180,154834052,785151
469,3352066,155676298,842246
470,3366636,156549376,873078
471,3381094,157384434,835058
472,3394399,158173412,788978
473,3404830,158822940,649528
474,3415899,159448163,625223
475,3430082,160174137,725974
476,3444229,160941814,767677
477,3457657,161677354,735540
478,3470669,162387500,710146
479,3482935,163019413,631913
480,3493211,163566057,546644
481,3504536,164109351,543294
482,3518597,164728902,619551
483,3532067,165401518,672616
484,3545232,165683927,282409
485,3558199,166310525,626598
486,3569632,166883051,572526
487,3579466,167364691,481640
488,3588600,167815524,450833
489,3601568,168349622,534098
490,3614365,168918324,568702
491,3627299,169465404,547080
492,3639305,169971095,505691
493,3650121,170451723,480628
494,3658513,170841834,390111
495,3667187,171228829,386995
496,3682386,171688648,459819
497,3694288,172176391,487743
498,3704451,172657368,480977
499,3715097,173082588,425220
500,3724495,173479610,397022
501,3731775,173802764,323154
502,3739841,174124490,321726
503,3750497,174495181,370691
504,3760654,174913793,418612
505,3776625,175367356,453563
506,3788375,175790017,422661
507,3798178,176158623,368606
508,3807434,176461581,302958
509,3815421,176771139,309558
510,3826155,177146002,374863
511,3836213,177535140,389138
512,3845508,177931441,396301
513,3854701,178334912,403471
514,3862870,178683374,348462
515,3869604,178986866,303492
516,3876585,179283489,296623
517,3885521,179693619,410130
518,3894891,180090820,397201
519,3903536,180500231,409411
520,3912772,180918233,418002
521,3920302,181281352,363119
522,3926364,181592454,311102
523,3932912,181925532,333078
524,3941053,182306743,381211
525,3950248,182706398,399655
526,3958781,183142121,435723
527,3967140,183584523,442402
528,3974043,183959095,374572
529,3980669,184287346,328251
530,3988023,184664016,376670
531,3996496,185114341,450325
532,4005050,185579606,465265
533,4013955,186061412,481806
534,4022346,186575284,513872
535,4028932,186997371,422087
536,4036549,187367952,370581
537,4044609,187800164,432212
538,4052987,188325785,525621
539,4061590,188863871,538086
540,4070220,189440286,576415
541,4078964,190036262,595976
542,4086477,190526730,490468
543,4093020,190948148,421418
544,4100165,191434512,486364
545,4120894,191966689,532177
546,4129559,192522637,555948
547,4138329,193087906,565269
548,4146654,193816133,728227
549,4155351,194249311,433178
550,4162679,194695590,446279
551,4171100,195233792,538202
552,4180938,195840039,606247
553,4191093,196490163,650124
554,4201364,197133255,643092
555,4210917,197865833,732578
556,4219747,198384714,518881
557,4227118,198869013,484299
558,4235162,199436567,567554
559,4245569,200070640,634073
560,4256071,200751094,680454
561,4267025,201436774,685680
562,4277477,202256206,819432
